ID,USER_ID,ORDER_DATE,STATUS,_etl_loaded_at
84,70,2018-03-26,placed,2023-09-12T23:20:11.125129
86,68,2018-03-26,placed,2023-09-12T23:20:11.125129
87,46,2018-03-27,placed,2023-09-12T23:20:11.125129
89,21,2018-03-28,placed,2023-09-12T23:20:11.125129
91,47,2018-03-31,placed,2023-09-12T23:20:11.125129
92,84,2018-04-02,placed,2023-09-12T23:20:11.125129
93,66,2018-04-03,placed,2023-09-12T23:20:11.125129
94,63,2018-04-03,placed,2023-09-12T23:20:11.125129
95,27,2018-04-04,placed,2023-09-12T23:20:11.125129
96,90,2018-04-06,placed,2023-09-12T23:20:11.125129
97,89,2018-04-07,placed,2023-09-12T23:20:11.125129
98,41,2018-04-07,placed,2023-09-12T23:20:11.125129
99,85,2018-04-09,placed,2023-09-12T23:20:11.125129
71,42,2018-03-12,shipped,2023-09-12T23:20:11.125129
72,30,2018-03-14,shipped,2023-09-12T23:20:11.125129
74,9,2018-03-17,shipped,2023-09-12T23:20:11.125129
77,35,2018-03-21,shipped,2023-09-12T23:20:11.125129
78,90,2018-03-23,shipped,2023-09-12T23:20:11.125129
79,52,2018-03-23,shipped,2023-09-12T23:20:11.125129
80,11,2018-03-23,shipped,2023-09-12T23:20:11.125129
81,76,2018-03-23,shipped,2023-09-12T23:20:11.125129
82,46,2018-03-24,shipped,2023-09-12T23:20:11.125129
83,54,2018-03-24,shipped,2023-09-12T23:20:11.125129
85,47,2018-03-26,shipped,2023-09-12T23:20:11.125129
88,91,2018-03-27,shipped,2023-09-12T23:20:11.125129
90,66,2018-03-30,shipped,2023-09-12T23:20:11.125129
1,1,2018-01-01,returned,2023-09-12T23:20:11.125129
8,2,2018-01-11,returned,2023-09-12T23:20:11.125129
14,40,2018-01-17,returned,2023-09-12T23:20:11.125129
18,64,2018-01-20,returned,2023-09-12T23:20:11.125129
2,3,2018-01-02,completed,2023-09-12T23:20:11.125129
3,94,2018-01-04,completed,2023-09-12T23:20:11.125129
4,50,2018-01-05,completed,2023-09-12T23:20:11.125129
5,64,2018-01-05,completed,2023-09-12T23:20:11.125129
6,54,2018-01-07,completed,2023-09-12T23:20:11.125129
7,88,2018-01-09,completed,2023-09-12T23:20:11.125129
9,53,2018-01-12,completed,2023-09-12T23:20:11.125129
10,7,2018-01-14,completed,2023-09-12T23:20:11.125129
11,99,2018-01-14,completed,2023-09-12T23:20:11.125129
12,59,2018-01-15,completed,2023-09-12T23:20:11.125129
13,84,2018-01-17,completed,2023-09-12T23:20:11.125129
15,25,2018-01-17,completed,2023-09-12T23:20:11.125129
16,39,2018-01-18,completed,2023-09-12T23:20:11.125129
17,71,2018-01-18,completed,2023-09-12T23:20:11.125129
19,54,2018-01-22,completed,2023-09-12T23:20:11.125129
20,20,2018-01-23,completed,2023-09-12T23:20:11.125129
21,71,2018-01-23,completed,2023-09-12T23:20:11.125129
22,86,2018-01-24,completed,2023-09-12T23:20:11.125129
24,3,2018-01-27,completed,2023-09-12T23:20:11.125129
25,51,2018-01-28,completed,2023-09-12T23:20:11.125129
26,32,2018-01-28,completed,2023-09-12T23:20:11.125129
27,94,2018-01-29,completed,2023-09-12T23:20:11.125129
28,8,2018-01-29,completed,2023-09-12T23:20:11.125129
29,57,2018-01-31,completed,2023-09-12T23:20:11.125129
30,69,2018-02-02,completed,2023-09-12T23:20:11.125129
31,16,2018-02-02,completed,2023-09-12T23:20:11.125129
32,28,2018-02-04,completed,2023-09-12T23:20:11.125129
33,42,2018-02-04,completed,2023-09-12T23:20:11.125129
34,38,2018-02-06,completed,2023-09-12T23:20:11.125129
35,80,2018-02-08,completed,2023-09-12T23:20:11.125129
36,85,2018-02-10,completed,2023-09-12T23:20:11.125129
37,1,2018-02-10,completed,2023-09-12T23:20:11.125129
38,51,2018-02-10,completed,2023-09-12T23:20:11.125129
39,26,2018-02-11,completed,2023-09-12T23:20:11.125129
40,33,2018-02-13,completed,2023-09-12T23:20:11.125129
41,99,2018-02-14,completed,2023-09-12T23:20:11.125129
42,92,2018-02-16,completed,2023-09-12T23:20:11.125129
43,31,2018-02-17,completed,2023-09-12T23:20:11.125129
44,66,2018-02-17,completed,2023-09-12T23:20:11.125129
